经度,纬度,区域,存量,日期,套均价,供应套数,供应面积,成交均价,成交套数,成交金额,成交面积,项目名称
120.872955322,32.0204207984,崇川区,-188,2016-02-01 00:00:00,639744,0,0,10184,3,1919231,188,宝隆花园
120.872955322,32.0204207984,崇川区,-122,2016-01-01 00:00:00,638449,0,0,10483,2,1276898,122,宝隆花园
120.872955322,32.0204207984,崇川区,-638,2015-12-01 00:00:00,828806,0,0,10391,8,6630448,638,宝隆花园
120.872955322,32.0204207984,崇川区,-806,2015-11-01 00:00:00,812759,0,0,10081,10,8127591,806,宝隆花园
120.872955322,32.0204207984,崇川区,-585,2015-10-01 00:00:00,780742,0,0,10684,8,6245939,585,宝隆花园
120.872955322,32.0204207984,崇川区,-738,2015-09-01 00:00:00,666950,0,0,10841,12,8003396,738,宝隆花园
120.872955322,32.0204207984,崇川区,-391,2015-08-01 00:00:00,641949,0,0,11498,7,4493643,391,宝隆花园
120.872955322,32.0204207984,崇川区,-848,2015-07-01 00:00:00,843737,0,0,10951,11,9281106,848,宝隆花园
120.872955322,32.0204207984,崇川区,-943,2015-06-01 00:00:00,839118,0,0,10680,12,10069420,943,宝隆花园
120.872955322,32.0204207984,崇川区,-1549,2015-05-01 00:00:00,801339,0,0,11383,22,17629456,1549,宝隆花园
120.872955322,32.0204207984,崇川区,-2524,2015-04-01 00:00:00,776000,0,0,10759,35,27160011,2524,宝隆花园
120.872955322,32.0204207984,崇川区,-167,2014-09-01 00:00:00,1915323,0,0,11469,1,1915323,167,宝隆花园
120.872955322,32.0204207984,崇川区,-167,2014-08-01 00:00:00,2010012,0,0,12036,1,2010012,167,宝隆花园
120.872955322,32.0204207984,崇川区,-110,2014-07-01 00:00:00,1279609,0,0,11654,1,1279609,110,宝隆花园
120.872955322,32.0204207984,崇川区,-167,2014-06-01 00:00:00,1985630,0,0,11890,1,1985630,167,宝隆花园
120.872955322,32.0204207984,崇川区,-167,2014-04-01 00:00:00,2068462,0,0,12386,1,2068462,167,宝隆花园
120.872955322,32.0204207984,崇川区,-239,2014-03-01 00:00:00,2836527,0,0,11847,1,2836527,239,宝隆花园
120.872955322,32.0204207984,崇川区,-167,2013-11-01 00:00:00,3320127,0,0,19881,1,3320127,167,宝隆花园
120.872955322,32.0204207984,崇川区,-131,2013-09-01 00:00:00,785520,0,0,12000,2,1571040,131,宝隆花园
120.872955322,32.0204207984,崇川区,-67,2013-08-01 00:00:00,810363,0,0,12050,1,810363,67,宝隆花园
120.872955322,32.0204207984,崇川区,-143,2013-07-01 00:00:00,895966,0,0,12505,2,1791932,143,宝隆花园
120.872955322,32.0204207984,崇川区,-67,2013-06-01 00:00:00,792825,0,0,11890,1,792825,67,宝隆花园
120.872955322,32.0204207984,崇川区,-232,2013-05-01 00:00:00,1465503,0,0,12650,2,2931005,232,宝隆花园
120.872955322,32.0204207984,崇川区,-303,2013-04-01 00:00:00,1898256,0,0,12521,2,3796512,303,宝隆花园
120.872955322,32.0204207984,崇川区,-438,2013-03-01 00:00:00,1376792,0,0,12570,4,5507168,438,宝隆花园
120.872955322,32.0204207984,崇川区,-116,2013-02-01 00:00:00,729437,0,0,12570,2,1458874,116,宝隆花园
120.872955322,32.0204207984,崇川区,-823,2013-01-01 00:00:00,1147490,0,0,12553,9,10327406,823,宝隆花园
120.83241,32.04205,港闸区,-298,2017-03-01 00:00:00,872083,0,0,8777,3,2616248,298,保利香槟国际
120.83241,32.04205,港闸区,-217,2016-12-01 00:00:00,901763,0,0,8309,2,1803526,217,保利香槟国际
120.83241,32.04205,港闸区,-743,2016-11-01 00:00:00,993161,0,0,8021,6,5958966,743,保利香槟国际
120.83241,32.04205,港闸区,-1277,2016-10-01 00:00:00,1010185,0,0,7911,10,10101849,1277,保利香槟国际
120.83241,32.04205,港闸区,-3284,2016-09-01 00:00:00,1119090,0,0,7837,23,25739080,3284,保利香槟国际
120.83241,32.04205,港闸区,-2091,2016-08-01 00:00:00,1078367,0,0,7737,15,16175512,2091,保利香槟国际
120.83241,32.04205,港闸区,-3879,2016-07-01 00:00:00,1070472,0,0,7726,28,29973224,3879,保利香槟国际
120.83241,32.04205,港闸区,-4426,2016-06-01 00:00:00,1040677,0,0,7524,32,33301675,4426,保利香槟国际
120.83241,32.04205,港闸区,-5133,2016-05-01 00:00:00,1032176,0,0,7440,37,38190519,5133,保利香槟国际
120.83241,32.04205,港闸区,-8342,2016-04-01 00:00:00,966893,0,0,7418,64,61881138,8342,保利香槟国际
120.83241,32.04205,港闸区,-10750,2016-03-01 00:00:00,949711,0,0,7421,84,79775685,10750,保利香槟国际
120.83241,32.04205,港闸区,-3995,2016-02-01 00:00:00,950848,0,0,7377,31,29476296,3995,保利香槟国际
120.83241,32.04205,港闸区,-4915,2016-01-01 00:00:00,988787,0,0,7243,36,35596315,4915,保利香槟国际
120.83241,32.04205,港闸区,-3810,2015-12-01 00:00:00,1102147,0,0,8100,28,30860125,3810,保利香槟国际
120.83241,32.04205,港闸区,-3531,2015-11-01 00:00:00,1056794,0,0,8081,27,28533451,3531,保利香槟国际
120.83241,32.04205,港闸区,-4580,2015-10-01 00:00:00,1087851,0,0,8075,34,36986918,4580,保利香槟国际
120.83241,32.04205,港闸区,-5675,2015-09-01 00:00:00,1072283,0,0,7935,42,45035895,5675,保利香槟国际
120.83241,32.04205,港闸区,-2625,2015-08-01 00:00:00,1030852,0,0,7854,20,20617045,2625,保利香槟国际
120.83241,32.04205,港闸区,-2026,2015-07-01 00:00:00,926263,0,0,7772,17,15746477,2026,保利香槟国际
120.83241,32.04205,港闸区,-2057,2015-06-01 00:00:00,986541,0,0,7673,16,15784658,2057,保利香槟国际
120.83241,32.04205,港闸区,-2860,2015-05-01 00:00:00,1070313,0,0,8234,22,23546880,2860,保利香槟国际
120.83241,32.04205,港闸区,-1435,2015-04-01 00:00:00,1000265,0,0,8362,12,12003181,1435,保利香槟国际
120.83241,32.04205,港闸区,-590,2015-03-01 00:00:00,976587,0,0,8278,5,4882934,590,保利香槟国际
