地址,经度,纬度,业务分类,客户名称,所在城市,所属团队,汇总时间,项目名称,项目周期,商务负责人,合同额（万元）,款项名称,开票额（万元）,到帐额（万元）,地产品牌,已开票未到账额,未执行完合同额,类型
上海市浦东新区龙阳路2277号201-3室,,,零售和其他,上海众聘信息科技有限公司,上海,数据科学团队,2015-07-05 00:00:00,数据咨询服务合同,零期,汤舸,5,,,,,,,脉策经营收入
上海市浦东新区龙阳路2277号201-3室,,,零售和其他,上海众聘信息科技有限公司,上海,数据科学团队,2015-08-04 00:00:00,数据咨询服务合同,一期,汤舸,,一期款,5,,,,,脉策经营收入
上海市浦东新区龙阳路2277号201-3室,,,零售和其他,上海众聘信息科技有限公司,上海,数据科学团队,2015-08-14 00:00:00,数据咨询服务合同,一期,汤舸,,一期款,,5,,,,脉策经营收入
上海市黄浦区中山东一路23号,,,零售和其他,中国银行上海分行,上海,数据科学团队,2015-10-20 00:00:00,数据咨询服务合同,零期,王咏笑,4.98,,,,,,,脉策经营收入
上海市黄浦区中山东一路23号,,,零售和其他,中国银行上海分行,上海,数据科学团队,2015-11-20 00:00:00,数据咨询服务合同,一期,王咏笑,,一期款,4.98,,,,,脉策经营收入
上海市黄浦区中山东一路23号,,,零售和其他,中国银行上海分行,上海,数据科学团队,2015-12-07 00:00:00,数据咨询服务合同,一期,王咏笑,,一期款,,4.98,,,,脉策经营收入
上海市淮海中路1555号,,,零售和其他,上海图书馆（上海科学技术情报所）,上海,数据科学团队,2015-10-12 00:00:00,数据咨询服务合同,零期,王咏笑,5,,,,,,,脉策经营收入
上海市淮海中路1555号,,,零售和其他,上海图书馆（上海科学技术情报所）,上海,数据科学团队,2015-11-07 00:00:00,数据咨询服务合同,一期,王咏笑,,一期款,5,,,,,脉策经营收入
上海市淮海中路1555号,,,零售和其他,上海图书馆（上海科学技术情报所）,上海,数据科学团队,2015-11-14 00:00:00,数据咨询服务合同,一期,王咏笑,,一期款,,5,,,,脉策经营收入
安徽省合肥市滨湖新区西藏路与林芝路交口社区服务中心526室,,,城市,合肥万科新城地产有限公司,合肥,城市事业部,2015-12-01 00:00:00,数据咨询服务合同,零期,高怡俊,5,,,,万科,,,脉策经营收入
安徽省合肥市滨湖新区西藏路与林芝路交口社区服务中心526室,,,城市,合肥万科新城地产有限公司,合肥,城市事业部,2015-12-08 00:00:00,数据咨询服务合同,一期,高怡俊,,一期款,5,,万科,,,脉策经营收入
安徽省合肥市滨湖新区西藏路与林芝路交口社区服务中心526室,,,城市,合肥万科新城地产有限公司,合肥,城市事业部,2015-10-18 00:00:00,数据咨询服务合同,一期,高怡俊,,一期款,,5,万科,,,脉策经营收入
上海市人民大道200号,,,城市,上海市发展改革委员会,上海,城市事业部,2016-06-01 00:00:00,发改委十三五监测系统,零期,高怡俊,40,,,,,,,脉策经营收入
上海市人民大道200号,,,城市,上海市发展改革委员会,上海,城市事业部,2016-09-28 00:00:00,发改委十三五监测系统,一期,高怡俊,,一期款,16,,,,,脉策经营收入
上海市人民大道200号,,,城市,上海市发展改革委员会,上海,城市事业部,2016-10-18 00:00:00,发改委十三五监测系统,一期,高怡俊,,一期款,,16,,,,脉策经营收入
上海市人民大道200号,,,城市,上海市发展改革委员会,上海,城市事业部,2016-12-12 00:00:00,发改委十三五监测系统,二期,高怡俊,,二期款,24,,,,,脉策经营收入
上海市人民大道200号,,,城市,上海市发展改革委员会,上海,城市事业部,2016-12-26 00:00:00,发改委十三五监测系统,二期,高怡俊,,二期款,,24,,,,脉策经营收入
上海市铜仁路331号同仁大楼3-13层,,,城市,上海市城市规划设计研究院,上海,城市事业部,2016-07-10 00:00:00,数据咨询服务合同,零期,高怡俊,10,,,,,,,脉策经营收入
上海市铜仁路331号同仁大楼3-13层,,,城市,上海市城市规划设计研究院,上海,城市事业部,2016-11-18 00:00:00,数据咨询服务合同,一期,高怡俊,,一期款,10,,,,,脉策经营收入
上海市铜仁路331号同仁大楼3-13层,,,城市,上海市城市规划设计研究院,上海,城市事业部,2016-12-03 00:00:00,数据咨询服务合同,一期,高怡俊,,一期款,,10,,,,脉策经营收入
中国（上海）自由贸易试验区张江路727号208A,,,地产,上海万科投资管理有限公司,上海,地产事业部,2016-09-09 00:00:00,数据应用平台开发,零期,郭斌亮,10,,,,万科,,,脉策经营收入
中国（上海）自由贸易试验区张江路727号208A,,,地产,上海万科投资管理有限公司,上海,地产事业部,2016-11-22 00:00:00,数据应用平台开发,一期,郭斌亮,,一期款,10,,万科,,,脉策经营收入
中国（上海）自由贸易试验区张江路727号208A,,,地产,上海万科投资管理有限公司,上海,地产事业部,2016-12-21 00:00:00,数据应用平台开发,一期,郭斌亮,,一期款,,10,万科,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2016-11-08 00:00:00,服务费用,零期,汤舸,25,,,,,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2016-12-07 00:00:00,服务费用,一期,汤舸,,一期款,25,,,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2016-12-16 00:00:00,服务费用,一期,汤舸,,一期款,,25,,,,脉策经营收入
上海市国泰路11号复旦科技园大厦,,,培训,上海复旦规划建筑设计研究院有限公司,上海,培训事业部,2016-12-01 00:00:00,数据咨询服务合同,零期,黄积小,8.84,,,,,,,脉策经营收入
上海市国泰路11号复旦科技园大厦,,,培训,上海复旦规划建筑设计研究院有限公司,上海,培训事业部,2016-12-15 00:00:00,数据咨询服务合同,一期,黄积小,,一期款,8.84,,,,,脉策经营收入
上海市国泰路11号复旦科技园大厦,,,培训,上海复旦规划建筑设计研究院有限公司,上海,培训事业部,2016-12-28 00:00:00,数据咨询服务合同,一期,黄积小,,一期款,,8.84,,,,脉策经营收入
上海市闵行区申长路988弄虹桥万科中心3号楼7楼,,,地产,上海万科投资管理有限公司,上海,地产事业部,2017-01-03 00:00:00,触摸屏系统,零期,郭斌亮,2.6676,,,,万科,,,脉策经营收入
上海市闵行区申长路988弄虹桥万科中心3号楼7楼,,,地产,上海万科投资管理有限公司,上海,地产事业部,2017-01-03 00:00:00,触摸屏系统,一期,郭斌亮,,一期款,2.6676,,万科,,,脉策经营收入
